[2025-12-17 00:05:32] 200 OK | anime | params={'q': 'Rascal Does Not Dream of Bunny Girl Senpai Season 2', 'limit': 5, 'type': 'tv'} | 5 results: ['37450: Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', '57433: Seishun Buta Yarou wa Santa Claus no Yume wo Minai', '59189: Sentai Daishikkaku 2nd Season', '58567: Ore dake Level Up na Ken Season 2: Arise from the Shadow', '59873: Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san Season 2']
[2025-12-17 00:05:35] 200 OK | anime | params={'q': 'Rascal Does Not Dream of Bunny Girl Senpai', 'limit': 5, 'type': 'tv'} | 5 results: ['37450: Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', '57433: Seishun Buta Yarou wa Santa Claus no Yume wo Minai', '53379: Uchi no Kaisha no Chiisai Senpai no Hanashi', '54855: Senpai wa Otokonoko', '2576: Araiguma Rascal']
[2025-12-17 00:05:38] 200 OK | anime | params={'q': 'Rascal Does Not Dream of Bunny Girl Senpai Part 2', 'limit': 5, 'type': 'tv'} | 5 results: ['37450: Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', '57433: Seishun Buta Yarou wa Santa Claus no Yume wo Minai', '38524: Shingeki no Kyojin Season 3 Part 2', '48583: Shingeki no Kyojin: The Final Season Part 2', '61322: Dr. Stone: Science Future Part 2']
[2025-12-17 00:05:41] 200 OK | anime | params={'q': 'Rascal Does Not Dream of Bunny Girl Senpai', 'limit': 5, 'type': 'tv'} | 5 results: ['37450: Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', '57433: Seishun Buta Yarou wa Santa Claus no Yume wo Minai', '53379: Uchi no Kaisha no Chiisai Senpai no Hanashi', '54855: Senpai wa Otokonoko', '2576: Araiguma Rascal']
[2025-12-17 00:05:44] 200 OK | anime | params={'q': 'Rascal Does Not Dream of Bunny Girl Senpai', 'limit': 5, 'type': 'tv'} | 5 results: ['37450: Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', '57433: Seishun Buta Yarou wa Santa Claus no Yume wo Minai', '53379: Uchi no Kaisha no Chiisai Senpai no Hanashi', '54855: Senpai wa Otokonoko', '2576: Araiguma Rascal']
[2025-12-17 00:05:47] 200 OK | anime/37450/relations | params=None | 2 results: ['None: N/A', 'None: N/A']
[2025-12-17 00:05:50] 200 OK | anime/38329 | params=None | ID=38329 title=Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
[2025-12-17 00:05:53] 200 OK | anime/38329/relations | params=None | 3 results: ['None: N/A', 'None: N/A', 'None: N/A']
[2025-12-17 00:05:56] 200 OK | anime/53129 | params=None | ID=53129 title=Seishun Buta Yarou wa Odekake Sister no Yume wo Minai
[2025-12-17 00:05:59] 200 OK | anime/53129/relations | params=None | 3 results: ['None: N/A', 'None: N/A', 'None: N/A']
[2025-12-17 00:06:02] 200 OK | anime/54870 | params=None | ID=54870 title=Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai
[2025-12-17 00:06:05] 200 OK | anime/54870/relations | params=None | 3 results: ['None: N/A', 'None: N/A', 'None: N/A']
[2025-12-17 00:06:07] 200 OK | anime/57433 | params=None | ID=57433 title=Seishun Buta Yarou wa Santa Claus no Yume wo Minai
[2025-12-17 00:16:43] 200 OK | anime | params={'q': 'Lord of Mysteries', 'limit': 5, 'type': 'tv'} | 5 results: ['37601: Lord of Vermilion: Guren no Ou', '54853: Maou 2099', '50664: Saihate no Paladin: Tetsusabi no Yama no Ou', '1848: Haou Taikei Ryuu Knight', '60154: Ore wa Seikan Kokka no Akutoku Ryoushu!']
